ALGORITHM, FEATURE_R, FEATURE_L, FEATURE_U, FEATURE_D, FEATURE_F, FEATURE_B, FEATURE_RP, FEATURE_LP, FEATURE_UP, FEATURE_DP, FEATURE_FP, FEATURE_BP, FEATURE_R2, FEATURE_L2, FEATURE_U2, FEATURE_D2, FEATURE_F2, FEATURE_B2, FEATURE_M, FEATURE_MP, FEATURE_M2, FEATURE_REGRIPS, FEATURE_RL_REGRIPS, FEATURE_OVERWORKING, LABEL
R U R U D' R' F U' L ,2,1,2,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,
R U R D F M U' R ,3,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,
R U R D M F D' R' B2 ,2,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,9,0,0,
R U R F U' R' D R F' ,3,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,
R U R U' F R U' ,3,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
R U R U' R' F R' U' D2 ,2,0,1,0,1,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,
R U R U' R2 D F' R F ,3,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,3,0,1,
R U R D' F U R' U2 F ,2,0,2,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6,0,0,
R U R D' U2 R' F R L ,3,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,1,0,
R U R U2 R' U2 R' F' L2 ,2,0,1,0,0,0,2,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,
R U D R F R' D' R L' ,3,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1,0,
R U D F R' U R' L2 ,1,0,2,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,
R U D R' D R U D' R ,3,0,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
R U D R' U' D' F' U B' ,1,0,2,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,3,0,0,
R U D R2 U F R ,2,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
R U D M F U2 ,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,
R U F R D R2 U2 M' ,2,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,6,0,0,
R U F R B2 U B2 ,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,1,
R U F U R' U2 R U D' ,2,0,3,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6,0,0,
R U F D R' F R' U' L' ,1,0,1,1,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,
R U F R' U R2 B' ,1,0,2,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6,0,0,
R U F R' U' R' U R2 U' ,1,0,2,0,1,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,
R U F R' U2 R' F' R L ,2,1,1,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,1,0,
R U F U' R' U R' U2 M ,1,0,2,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,6,0,0,
R U F U' R2 F D' L ,1,1,1,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,6,1,0,
R U F D' R' D U' M U ,1,0,2,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,6,0,0,
R U F R2 U' F' U' R L ,2,1,1,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,6,1,1,
R U F U2 M D' F R ,2,0,1,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,3,0,0,
R U F M U' D' R U' F' ,2,0,1,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,3,0,0,
R U R' U R D' R2 U M2 ,2,0,3,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,
R U R' U R' U F D' B2 ,1,0,3,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,
R U R' U F' U M F' L2 ,1,0,3,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0,
R U R' U M U2 R U D ,2,0,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,
R U R' D R' U R' ,1,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
R U R' D F' U D' F D' ,1,0,2,1,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
R U R' D M U2 F' D' ,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,
R U R' F D U' F' M' ,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
R U R' F U' F' U' L' ,1,0,1,0,1,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,
R U R' F M U' D' F' D ,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,
R U R' U' R U' R2 F U ,2,0,2,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
R U R' U' F U' D2 R' ,1,0,1,0,1,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,
R U R' U' R' U' M F' R L ,2,1,1,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,
R U R' U' F' R U D R' U ,2,0,3,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
R U R' U' R2 D' R' U' R ,2,0,1,0,0,0,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
R U R' U' M' U' R' B' ,1,0,1,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,1,0,3,0,1,
R U R' D' F U' F R' F' ,1,0,1,0,2,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,2,
R U R' D' F' U' F' U' M' ,1,0,1,0,0,0,1,0,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,2,
R U R' D' M F2 L' ,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,
R U R' U2 R' D U' F' U2 ,1,0,1,1,0,0,2,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,
R U R' U2 M U R' U F' ,1,0,3,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,
R U D' R D R' U L' ,2,0,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
R U D' R U2 F R' U' B ,2,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,9,0,0,
R U D' F U' R' U F' U2 ,1,0,2,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,6,0,0,
R U D' R' D L ,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
R U D' R' U' F D U' M ,1,0,1,1,1,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
R U D' R' U2 F U' R' B' ,1,0,1,0,1,0,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,6,0,0,
R U D' B2 U' M U' D ,1,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,
R U D' M D' F R' U R ,2,0,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,6,0,1,
R U R2 U R U' D' R' D2 ,2,0,2,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,
R U R2 D F M D ,1,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,
R U R2 F M U R2 F' ,1,0,2,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,
R U R2 U' F' D' M U R2 ,1,0,2,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,
