ALGORITHM, FEATURE_R, FEATURE_L, FEATURE_U, FEATURE_D, FEATURE_F, FEATURE_B, FEATURE_RP, FEATURE_LP, FEATURE_UP, FEATURE_DP, FEATURE_FP, FEATURE_BP, FEATURE_R2, FEATURE_L2, FEATURE_U2, FEATURE_D2, FEATURE_F2, FEATURE_B2, FEATURE_M, FEATURE_MP, FEATURE_M2, FEATURE_REGRIPS, FEATURE_RL_REGRIPS, FEATURE_OVERWORKING, LABEL
R U' R' D R U R' D' R U R' D R U' R' D',4,0,2,2,0,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
R' U' F' R U R' U' R' F R2 U' R' U' R U R' U R,3,0,3,0,1,0,5,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,4
D' R2 U R' U R' U' R U' R2 U' D R' U R,2,0,3,1,0,0,3,0,3,1,0,0,2,0,0,0,0,0,0,0,0,3,0,2,4
R' U' R U D' R2 U R' U R U' R U' R2 D ,3,0,3,1,0,0,2,0,3,1,0,0,2,0,0,0,0,0,0,0,0,3,0,1,4
R2 F2 R U2 R U2 R' F R U R' U' R' F R2,3,0,1,0,2,0,3,0,1,0,0,0,2,0,2,0,1,0,0,0,0,6,0,0,4
R2 U' R U' R U R' U R2 D' U R U' R' D,3,0,3,1,0,0,2,0,3,1,0,0,2,0,0,0,0,0,0,0,0,3,0,1,4
R U R' U' D R2 U' R U' R' U R' U R2 D' ,2,0,3,1,0,0,3,0,3,1,0,0,2,0,0,0,0,0,0,0,0,3,0,1,4
M2 U M2 U2 M2 U M2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,3,4
R' U L' U2 R U' R' U2 R L,2,1,1,0,0,0,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,4
R U R' F' R U R' U' R' F R2 U' R',2,0,2,0,1,0,4,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4
R U R' U R U R' F' R U R' U' R' F R2 U' R' U2 R U' R',4,0,4,0,1,0,6,0,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,4
R' U L' U2 R U' L R' U L' U2 R U' L,2,2,2,0,0,0,2,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,4
R U R' F' R U2 R' U2 R' F R U R U2 R',4,0,2,0,1,0,4,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,4
L U2 L' U2 L F' L' U' L U L F L2,0,4,1,0,1,0,0,2,1,0,1,0,0,1,2,0,0,0,0,0,0,6,1,0,4
R U' R' U' R U R D R' U' R D' R' U2 R',4,0,1,1,0,0,4,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4
R' U2 R U2 R' F R U R' U' R' F' R2,2,0,1,0,1,0,4,0,1,0,1,0,1,0,2,0,0,0,0,0,0,3,0,0,4
R U R' U' R' F R2 U' R' U' R U R' F',2,0,2,0,1,0,4,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,4
R U R' U' R' F R2 U' R' U F' L' U L,1,1,3,0,1,0,3,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,4
R U' R U R U R U' R' U' R2,4,0,2,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,6,0,1,4
R2 U' R' U' R U R U R U' R,4,0,2,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,6,0,1,4
M2 U M U2 M' U M2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,1,4
R2 U R U R' U' R' U' R' U R',1,0,3,0,0,0,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,6,0,1,4
R U' R U R' D R D' R U' D R2 U R2 D' R2,4,0,2,2,0,0,1,0,2,2,0,0,3,0,0,0,0,0,0,0,0,3,0,0,4
F R U' R' U' R U R' F' R U R' U' R' F R F',4,0,2,0,2,0,4,0,3,0,2,0,0,0,0,0,0,0,0,0,0,3,0,2,4
M2 U M2 U M' U2 M2 U2 M',0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,3,0,0,2,4
R U R' U' R' F R2 U R' U' F',1,0,2,0,1,0,3,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4
L' U' L U' L F' L' F L' U2 L,0,3,0,0,1,0,0,3,2,0,1,0,0,0,1,0,0,0,0,0,0,3,1,2,4
R U R' U R' F R F' R U2 R',3,0,2,0,1,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,4
M R U R' U R U2 R' U M',2,0,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,4
F U R U2 R' U' R U R' F',2,0,2,0,1,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4
F U R U2 R' U' R U R' F',2,0,2,0,1,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4
R U R' U' R' F R F',2,0,1,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4
R U2 R2 F R F' R U2 R',3,0,0,0,1,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,4
L' U' L U' L' U L U L F' L' F,0,3,2,0,1,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,3,1,2,4
R U R' U R U' B U' B' R',2,0,2,0,0,1,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4
R U B' R B R2 U' R' F R F',3,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,6,0,1,4
R U B' U' R' U R B R',2,0,2,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
R B' R' U' R U B U' R',2,0,1,0,0,1,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
